AgeBP;d18O;;
1870;0,53;;
2050;0,36;;
2230;0,3;;
2320;0,09;;
2500;0,24;;
2590;0,28;;
2680;0,29;;
2770;0,42;;
2950;0,2;;
3030;0,43;;
3120;0,34;;
3210;0,42;;
3390;0,14;;
3480;0,08;;
3570;0,27;;
3660;0,12;;
3840;0,35;;
3930;0,03;;
4020;0,23;;
4110;0,14;;
4280;-0,27;;
4370;0,14;;
4460;0,29;;
4550;-0,12;;
4640;-0,3;;
4730;-0,04;;
4820;-0,02;;
4910;-0,17;;
5000;0,07;;
5180;0,04;;
5270;0,2;;
5440;0,04;;
5620;-0,06;;
5710;0,1;;
5800;0,17;;
5890;0,33;;
6070;0,56;;
