AgeBP;d18O
1890;2,17
2060;2,42
2230;2,41
2410;2,18
2580;2,41
2750;2,38
2850;2,29
2920;2,23
3090;2,44
3270;2,54
3610;2,4
3780;2,5
3950;2,47
4130;2,41
4300;2,37
4470;2,08
4640;2,22
4810;2,16
4990;2,28
5170;2,3
5350;2,26
5520;2,24
5700;2,17
5880;2,41
6060;2,32
