AgeBP;d18O
4311,382097;-5,277602602
4316,042929;-5,531432714
4320,706067;-5,295212825
4325,367397;-4,959201673
4330,022806;-5,023388806
4334,668181;-4,892546269
4339,299409;-4,516272388
4343,912794;-4,193838993
4348,509502;-4,485390299
4353,093833;-4,676777985
4357,670138;-4,929523507
4362,242771;-5,224935075
4366,816083;-5,341149254
4371,394428;-5,27389944
4375,980987;-5,313924254
4380,574269;-5,032734701
4385,17161;-5,012011194
4389,770347;-4,754999067
4394,367819;-4,738745336
4398,961362;-4,915301493
4403,548349;-5,057115299
4408,128205;-5,055083582
4412,703547;-5,134930037
4417,277262;-5,288324627
4421,852238;-5,145088619
4426,431364;-5,213151119
4431,017528;-5,497185075
4435,61344;-5,332412873
4440,219743;-5,38889459
4444,835746;-5,443547761
4449,460737;-5,912264739
4454,094003;-5,569717351
4458,734831;-5,179018284
4463,382507;-5,030906157
4468,035873;-5,323270149
4472,691984;-5,438671642
4477,347452;-5,301530784
4481,998885;-5,350088806
4486,642895;-5,727581716
4491,276091;-5,849078358
4495,895128;-5,762324067
4500,499377;-5,659316045
4505,092413;-5,501045336
4509,678177;-5,412868843
4514,260607;-5,392145336
4518,843641;-5,518802993
4523,431219;-5,682000187
4528,027089;-5,637176988
4532,63279;-5,547734331
4537,248432;-5,41733957
4541,874105;-5,397984097
4546,509896;-5,117227877
4551,155893;-5,04123218
4555,812185;-5,269015529
4560,477439;-5,526137699
4565,144642;-5,605189523
4569,80536;-5,538362208
4574,451159;-5,304466604
4579,073607;-5,392075585
4583,664268;-5,348474836
4588,21471;-5,284499906
4592,716446;-5,150234051
4597,160917;-4,999261366
4601,539553;-5,053049205
4605,843786;-4,839935267
4610,065049;-4,995797755
4614,194773;-4,97501609
4618,225455;-5,047344434
4622,161988;-4,923469411
4626,017257;-5,005577362
4629,804283;-5,184666417
4633,536085;-5,298761833
4637,225683;-5,392075585
4640,886098;-5,058346492
4644,530724;-5,935455005
4648,174455;-5,173053134
4651,832561;-5,179776614
4655,520312;-5,407967446
4659,252976;-5,502503648
4663,045824;-4,919802058
4666,913997;-4,820376052
4670,864992;-5,200558279
4674,894457;-5,00313246
4678,99702;-4,885165949
4683,167309;-5,16592217
4687,399954;-5,272682881
