AgeBP;d18O
1924;0,322
2027;0,432
2129;0,418
2232;0,655
2334;0,111
2437;0,672
2540;0,82
2642;0,498
2745;0,45
2847;0,246
2950;0,172
3053;0,338
3155;0,51
3258;0,262
3662;0,203
3769;0,76
3877;0,124
3984;0,067
4092;0,567
4199;0,337
4307;-0,01
4414;0,255
4522;0,216
4630;0,106
4737;0,066
4845;0,044
4952;-0,002
5060;-0,142
5167;0,385
5275;-0,125
5382;0,161
5490;-0,17
5597;-0,029
5705;0,424
5839;0,323
5952;-0,287
6267;0,121
